club_name,ï»¿sofifa_id,age,height_cm,overall,potential,value_eur,wage_eur,international_reputation
Arsenal,174266.87878787878,23.818181818181817,181.21212121212122,74.18181818181819,79.24242424242425,7426515.151515151,73575.75757575757,2.0606060606060606
Aston Villa,166895.24242424243,24.636363636363637,182.27272727272728,69.60606060606061,74.6969696969697,2378939.393939394,26969.696969696968,1.5757575757575757
Burnley,172265.69696969696,24.78787878787879,182.06060606060606,65.84848484848484,70.48484848484848,874090.9090909091,10333.333333333334,1.1515151515151516
Chelsea,174558.0606060606,23.757575757575758,183.42424242424244,73.27272727272727,79.96969696969697,8622878.787878787,77909.09090909091,2.0303030303030303
Crystal Palace,161450.0606060606,26.424242424242426,182.5151515151515,69.42424242424242,72.75757575757575,1630000.0,20181.81818181818,1.303030303030303
Everton,154636.21212121213,25.333333333333332,180.66666666666666,72.36363636363636,77.27272727272727,3955606.0606060605,35939.393939393936,1.7575757575757576
Hull City,170009.60606060605,25.393939393939394,182.15151515151516,68.9090909090909,73.27272727272727,1890909.0909090908,22424.242424242424,1.393939393939394
Leicester City,172376.24242424243,25.03030303030303,181.84848484848484,66.45454545454545,70.78787878787878,924242.4242424242,12181.818181818182,1.1818181818181819
Liverpool,180723.27272727274,23.424242424242426,180.27272727272728,73.06060606060606,78.66666666666667,5393939.393939394,55515.15151515151,1.878787878787879
Manchester City,164763.9393939394,25.484848484848484,182.54545454545453,73.42424242424242,79.15151515151516,9519545.454545455,85757.57575757576,2.212121212121212
Manchester United,173928.24242424243,23.939393939393938,183.0,73.39393939393939,78.93939393939394,9349545.454545455,80575.75757575757,2.1515151515151514
Newcastle United,179571.63636363635,24.060606060606062,181.96969696969697,70.48484848484848,76.18181818181819,2483333.3333333335,27393.939393939392,1.5454545454545454
Queens Park Rangers,156194.39393939395,25.848484848484848,183.12121212121212,69.84848484848484,73.84848484848484,2317575.757575758,26666.666666666668,1.5151515151515151
Southampton,191448.66666666666,23.12121212121212,182.4848484848485,68.9090909090909,75.9090909090909,2605454.5454545454,24424.242424242424,1.303030303030303
Stoke City,176563.45454545456,25.454545454545453,185.33333333333334,70.0909090909091,73.9090909090909,2827878.787878788,30060.60606060606,1.7272727272727273
Sunderland,181586.12121212122,23.848484848484848,182.33333333333334,68.03030303030303,73.72727272727273,1901818.1818181819,22606.060606060608,1.3636363636363635
Swansea City,179341.9090909091,24.606060606060606,181.36363636363637,68.6969696969697,73.57575757575758,2338636.3636363638,22909.090909090908,1.393939393939394
Tottenham Hotspur,177988.42424242425,24.393939393939394,183.15151515151516,73.48484848484848,78.72727272727273,5543181.818181818,56363.63636363636,1.7575757575757576
West Bromwich Albion,171192.21212121213,25.454545454545453,182.3030303030303,69.27272727272727,72.84848484848484,2270303.0303030303,25666.666666666668,1.393939393939394
West Ham United,161129.12121212122,24.90909090909091,183.15151515151516,69.12121212121212,73.6969696969697,2291818.1818181816,26393.939393939392,1.5454545454545454
