club_name,ï»¿sofifa_id,age,height_cm,overall,potential,value_eur,wage_eur,international_reputation,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Arsenal,190146.87878787878,24.727272727272727,181.12121212121212,75.75757575757575,81.63636363636364,15453030.303030303,89727.27272727272,2.1818181818181817,,,,,,,,
Bournemouth,193745.75757575757,24.87878787878788,181.57575757575756,70.15151515151516,76.60606060606061,4152424.242424242,38666.666666666664,1.121212121212121,,,,,,,,
Brighton & Hove Albion,193982.51515151514,25.939393939393938,181.57575757575756,70.33333333333333,74.84848484848484,3646212.121212121,30727.272727272728,1.121212121212121,,,,,,,,
Burnley,198706.66666666666,25.181818181818183,181.33333333333334,68.57575757575758,72.60606060606061,3971666.6666666665,32878.78787878788,1.1515151515151516,,,,,,,,
Chelsea,200148.72727272726,24.393939393939394,182.06060606060606,76.51515151515152,82.57575757575758,20345606.060606062,106303.0303030303,2.1515151515151514,,,,,,,,
Crystal Palace,191235.42424242425,25.242424242424242,183.21212121212122,70.57575757575758,75.87878787878788,5479242.424242424,34212.121212121216,1.3636363636363635,,,,,,,,
Everton,186589.12121212122,25.181818181818183,180.9090909090909,74.72727272727273,80.48484848484848,10062121.212121213,74757.57575757576,1.7272727272727273,,,,,,,,
Huddersfield Town,201503.9696969697,24.363636363636363,184.63636363636363,66.87878787878788,73.51515151515152,2671515.1515151514,23060.60606060606,1.0303030303030303,,,,,,,,
Leicester City,195064.9393939394,25.151515151515152,183.21212121212122,72.18181818181819,77.60606060606061,7160000.0,45060.606060606064,1.4848484848484849,,,,,,,,
Liverpool,201233.54545454544,24.09090909090909,181.1818181818182,75.9090909090909,81.9090909090909,14127272.727272727,82575.75757575757,1.8181818181818181,,,,,,,,
Manchester City,199129.75757575757,23.484848484848484,181.66666666666666,74.12121212121212,82.36363636363636,17521666.666666668,95181.81818181818,2.090909090909091,,,,,,,,
Manchester United,194418.51515151514,24.636363636363637,184.45454545454547,77.66666666666667,83.3030303030303,18485606.060606062,105969.69696969698,2.303030303030303,,,,,,,,
Newcastle United,205175.18181818182,24.060606060606062,182.15151515151516,70.78787878787878,76.63636363636364,4879242.424242424,39090.90909090909,1.1818181818181819,,,,,,,,
Southampton,200335.9090909091,24.21212121212121,181.8181818181818,71.87878787878788,77.96969696969697,7052878.787878788,52030.30303030303,1.4848484848484849,,,,,,,,
Stoke City,193087.45454545456,24.78787878787879,184.0,70.63636363636364,77.03030303030303,6050757.575757576,40727.27272727273,1.5757575757575757,,,,,,,,
Swansea City,196067.36363636365,25.303030303030305,182.8181818181818,71.24242424242425,76.78787878787878,5101818.181818182,41848.48484848485,1.5151515151515151,,,,,,,,
Tottenham Hotspur,204073.0,23.393939393939394,183.1818181818182,73.51515151515152,81.51515151515152,15922727.272727273,67878.78787878787,1.9090909090909092,,,,,,,,
Watford,192477.42424242425,26.333333333333332,183.75757575757575,74.18181818181819,77.84848484848484,6571969.696969697,42636.36363636364,1.5151515151515151,,,,,,,,
West Bromwich Albion,185037.03333333333,25.866666666666667,184.73333333333332,70.33333333333333,75.66666666666667,5009166.666666667,43900.0,1.5666666666666667,,,,,,,,
West Ham United,195841.69696969696,24.515151515151516,182.63636363636363,71.48484848484848,77.75757575757575,6891212.121212121,60212.121212121216,1.696969696969697,,,,,,,,
